Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
1,6306,0,0,471,3515,243989,1,16,1232,0,78,1,330
0,6427,0,0,513,3630,244132,0,17,1198,0,13,0,326
0,6805,0,5,669,3513,244639,6,4,528,0,5,0,312
1,7087,0,0,671,3149,244851,1,6,321,1,3,0,333
1,6260,0,2,718,3341,243955,0,19,1098,0,40,0,307
1,6311,0,3,639,3097,244090,1,4,981,0,70,0,316
0,6609,0,4,560,3183,244758,0,7,526,0,4,0,334
0,7514,0,7,666,3548,245149,0,1,37,0,0,0,315
1,6765,0,2,713,3215,244191,1,31,915,3,14,0,305
1,6889,0,2,661,3526,244570,0,2,611,1,4,0,323
0,7143,0,3,596,3279,245256,0,0,0,0,0,0,322
0,6905,0,3,530,3694,244566,0,9,720,0,18,0,340
1,5950,0,0,787,3341,243531,2,5,1365,2,82,0,327
1,6240,0,4,463,3182,244201,1,3,964,0,111,0,332
0,6737,0,7,485,3601,244341,0,10,956,0,35,0,321
0,6172,0,0,592,2969,244332,2,10,908,1,11,0,314
0,6485,0,3,552,3553,244229,2,19,967,0,51,0,320
1,5847,0,2,719,3315,243523,3,9,1368,0,118,1,328
0,6757,0,5,450,3464,244425,0,14,927,0,25,0,317
1,6947,0,3,519,3663,244588,0,35,657,3,42,0,345
1,6573,0,1,637,3274,244391,2,25,781,0,20,0,329
0,6849,0,3,554,3639,244625,0,14,673,0,0,0,338
0,6744,0,4,549,2929,244943,0,7,345,1,7,0,336
0,7125,0,3,837,3103,244991,0,7,23,1,0,0,337
0,6648,0,3,616,3465,244280,0,4,860,0,48,0,346
0,6180,0,2,579,3553,243810,0,4,1219,0,121,1,344
0,6653,0,3,588,3126,244618,1,15,638,1,3,0,342
1,6225,0,2,715,3424,244030,2,12,1042,0,30,1,341
0,6536,0,3,586,3377,244325,1,16,896,0,22,0,349
0,6692,0,5,755,2876,244348,1,15,674,0,37,0,318
0,6965,0,2,655,3053,245000,0,16,199,0,1,0,347
1,6600,0,1,460,3342,244578,0,17,739,2,36,0,324
2,5822,0,4,660,3001,243754,4,14,1316,2,57,0,311
0,6964,0,6,477,3664,244801,0,11,567,3,2,0,343
2,5357,0,4,521,3576,243064,0,12,1984,0,142,1,348
0,7106,0,4,602,3146,245250,0,0,0,0,0,0,364
0,6382,0,6,563,3330,244321,0,24,894,2,36,0,365
0,7043,0,2,452,3666,244556,1,34,811,2,14,1,360
0,6279,0,2,698,3202,244125,2,18,868,1,79,0,366
0,6454,0,7,718,2915,244315,1,8,716,0,51,0,352
0,7007,0,3,478,3490,245022,1,6,349,0,1,0,351
0,6840,0,4,760,2883,244510,1,13,553,0,14,0,362
1,5288,0,4,773,3009,243358,4,17,1530,4,93,0,367
0,6806,0,2,705,3264,244767,1,2,379,0,1,0,363
0,6854,0,4,696,3398,244604,0,16,542,2,4,0,370
0,7159,0,5,711,3334,244948,1,12,122,0,35,0,350
0,7215,0,3,408,3807,244892,0,20,528,0,12,0,373
0,6636,0,1,712,2816,244531,0,4,595,0,7,0,355
0,6759,0,3,580,3514,244607,1,22,614,2,24,0,372
2,5497,0,2,711,3022,243696,2,11,1247,2,98,0,359
0,7745,0,2,604,3569,245208,0,8,39,1,0,0,369
0,6590,0,4,557,3359,244452,0,7,823,0,10,0,356
0,6510,0,5,640,2914,244183,1,5,946,0,41,0,353
0,6344,0,3,673,3012,244335,0,8,826,2,8,0,357
0,6940,0,5,606,3484,244654,1,18,518,1,36,0,358
1,5005,0,0,792,3022,243704,1,14,1219,1,67,0,354
0,6047,0,0,584,3070,244040,1,8,1200,1,13,0,375
1,6935,0,5,925,3284,244583,5,37,326,4,4,0,368
1,5986,0,0,644,3006,243721,2,10,1308,0,88,0,376
0,6676,0,1,780,3170,244585,0,13,443,0,22,0,371
0,6482,0,2,705,3245,244460,2,5,646,1,19,0,380
0,6691,0,5,847,3291,244329,1,4,615,4,28,0,377
0,7345,0,0,740,3487,244980,0,13,126,2,2,0,379
0,6294,0,1,592,2870,244846,0,3,386,0,14,0,374
0,6394,0,2,578,3128,244354,0,13,896,2,11,0,378
0,7245,0,5,723,3320,244992,0,5,131,2,2,0,447
