assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.0649,-0.0335,-0.0755,-0.0254,0.0261,0.0493,4.8201,4.4241,3.8942,0.0011984,11,10,4849,2012,139
0.0032,-0.0091,0.047,-0.0066,0.0227,0.043,4.8161,4.9142,3.9673,0.0011974,16,11,4845,2012,178
0.0332,0.009,0.0996,0.0329,0.0308,0.0564,4.8211,4.7165,3.945,0.0011987,13,11,4850,2012,133
-0.1203,-0.0473,-0.081,-0.0301,0.0222,0.0404,4.8181,4.5831,3.9152,0.0011979,13,11,4847,2012,141
-0.1509,-0.0599,-0.0857,-0.0287,0.0192,0.0368,4.8121,4.5419,3.8525,0.0011965,13,11,4841,2012,136
-0.1608,-0.045,-0.0454,-0.0139,0.0241,0.0438,4.8231,4.4123,3.9409,0.0011992,12,11,4852,2012,145
-0.0688,-0.0316,-0.005,-0.0119,0.0242,0.0427,4.8191,4.6583,3.9391,0.0011982,12,12,4848,2012,149
-0.1803,-0.0587,-0.1029,-0.0264,0.0242,0.047,4.8221,4.3462,3.9452,0.0011989,12,11,4851,2012,156
-0.1052,-0.0369,-0.0683,-0.0184,0.0269,0.0511,4.8161,4.3831,3.8973,0.0011974,11,11,4845,2012,154
-0.1333,-0.0554,-0.0861,-0.0409,0.0223,0.0435,4.8161,4.4406,3.9724,0.0011974,15,10,4845,2012,155
-0.1393,-0.0539,-0.1142,-0.0313,0.0208,0.0386,4.8131,4.4054,3.8792,0.0011967,13,10,4842,2012,165
-0.0973,-0.0543,-0.0859,-0.0592,0.0218,0.0428,4.8161,4.6125,3.9688,0.0011974,12,11,4845,2012,144
-0.169,-0.0349,-0.0867,-0.0144,0.0234,0.0434,4.8191,4.3607,3.8832,0.0011982,11,11,4848,2012,195
-0.1147,-0.0315,-0.1524,-0.0407,0.0252,0.0461,4.8221,4.5511,3.88,0.0011989,12,11,4851,2012,199
-0.1498,-0.053,-0.1508,-0.043,0.0246,0.0484,4.8211,4.3363,3.9045,0.0011987,12,11,4850,2012,175
-0.0996,-0.0339,-0.0645,-0.0255,0.0269,0.0517,4.8161,4.5719,3.8974,0.0011974,14,11,4845,2012,137
-0.0674,-0.0217,-0.1562,-0.0397,0.021,0.0392,4.8171,4.4,3.9432,0.0011977,12,10,4846,2012,153
-0.1735,-0.0666,-0.1047,-0.0478,0.0227,0.0442,4.8191,4.5617,3.9391,0.0011982,13,12,4848,2012,152
-0.0676,-0.0394,-0.0415,-0.0323,0.021,0.0409,4.8101,4.4537,3.9003,0.001196,10,9,4839,2012,186
-0.1773,-0.0595,-0.1437,-0.0568,0.0231,0.0443,4.8131,4.4635,3.836,0.0011967,11,10,4842,2012,214
-0.1713,-0.0651,-0.0303,-0.0249,0.0205,0.0394,4.8241,4.4374,3.9849,0.0011994,11,11,4853,2012,191
-0.0283,-0.021,-0.0756,-0.0383,0.0246,0.0481,4.8241,4.6847,3.9618,0.0011994,13,12,4853,2012,147
-0.0572,-0.0251,-0.0908,-0.0268,0.0255,0.0486,4.8171,4.3632,3.9083,0.0011977,11,11,4846,2012,168
-0.2083,-0.079,-0.1018,-0.0533,0.0212,0.0413,4.8131,4.6009,3.8318,0.0011967,12,10,4842,2012,157
-0.1215,-0.0437,-0.0546,-0.0284,0.0259,0.0487,4.8211,4.4639,3.9738,0.0011987,12,11,4850,2012,193
-0.1328,-0.0365,-0.0856,-0.0128,0.0243,0.0439,4.8191,4.4488,3.939,0.0011982,12,12,4848,2012,158
-0.0783,-0.0158,-0.1015,-0.0149,0.0285,0.0529,4.8201,4.2696,3.9827,0.0011984,12,12,4849,2012,173
-0.1286,-0.0476,-0.0663,-0.0298,0.023,0.0454,4.8171,4.4679,3.9281,0.0011977,13,11,4846,2012,179
-0.2309,-0.0754,-0.1221,-0.0464,0.0196,0.0378,4.8161,4.456,3.85,0.0011974,12,12,4845,2012,183
-0.1973,-0.0749,-0.1069,-0.037,0.0164,0.0324,4.8082,4.2957,3.8649,0.0011955,11,10,4837,2012,192
-0.1172,-0.0569,-0.0831,-0.0484,0.0225,0.0443,4.8141,4.569,3.8929,0.0011969,13,10,4843,2012,177
-0.1316,-0.0545,-0.1823,-0.0789,0.022,0.0427,4.8211,4.5793,3.909,0.0011987,12,11,4850,2012,174
-0.1228,-0.0368,-0.0614,-0.0151,0.0255,0.0491,4.8141,4.5431,3.9001,0.0011969,15,11,4843,2012,187
-0.1077,-0.0444,0.0002,0.0032,0.0217,0.0411,4.829,4.4958,3.9903,0.0012007,12,12,4858,2012,211
-0.1461,-0.0591,-0.0789,-0.0358,0.0237,0.0463,4.8121,4.5205,3.8915,0.0011965,12,10,4841,2012,189
-0.1431,-0.0598,-0.0303,-0.0197,0.0224,0.0426,4.8052,4.3951,3.9275,0.0011947,12,10,4834,2012,209
-0.1005,-0.0285,-0.0531,-0.0138,0.0249,0.0475,4.8131,4.4267,3.8892,0.0011967,11,12,4842,2012,167
-0.0865,-0.0265,-0.0651,-0.0022,0.0278,0.0518,4.8151,4.3991,3.9372,0.0011972,11,10,4844,2012,197
