assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.1244,-0.0039,0.0276,0.0021,0.6083,0.8166,16.4185,1.7204,2.0724,0.0008761,4,4,76929,9371,155
-0.0692,-0.0051,-0.0071,-0.0038,0.6178,0.8207,16.4185,1.7357,2.0933,0.0008761,4,4,76929,9371,134
-0.2346,-0.0163,-0.0712,-0.0054,0.6354,0.8575,16.4185,1.7025,2.1031,0.0008761,4,4,76929,9371,162
-0.2387,-0.0107,0.0641,0.0,0.6783,0.8769,16.4185,1.7211,2.0673,0.0008761,3,4,76929,9371,213
-0.2824,-0.0135,-0.1089,-0.0088,0.6003,0.8169,16.4185,1.7475,2.0812,0.0008761,4,4,76929,9371,193
-0.0183,0.0001,-0.0111,-0.0032,0.6186,0.8493,16.4185,1.7404,2.0895,0.0008761,4,4,76929,9371,135
-0.1302,-0.0053,-0.0866,-0.0029,0.5882,0.8019,16.4185,1.7054,2.0699,0.0008761,4,4,76929,9371,158
-0.1221,-0.0059,0.0107,-0.0009,0.6169,0.8093,16.4185,1.7178,2.0791,0.0008761,4,4,76929,9371,144
-0.1869,-0.0076,0.0203,0.0018,0.627,0.8672,16.4185,1.7454,2.0689,0.0008761,4,4,76929,9371,148
-0.1557,-0.0094,0.1272,0.0043,0.6201,0.8295,16.4185,1.706,2.0837,0.0008761,4,4,76929,9371,141
-0.1777,-0.0071,-0.0733,-0.0042,0.6568,0.843,16.4185,1.7093,2.0843,0.0008761,3,4,76929,9371,209
-0.034,-0.0058,-0.0082,-0.0013,0.6643,0.848,16.4185,1.7002,2.1233,0.0008761,4,4,76929,9371,190
-0.0517,-0.0007,-0.0178,-0.0056,0.603,0.8554,16.4185,1.7573,2.093,0.0008761,4,4,76929,9371,142
-0.1982,-0.0076,0.0419,0.002,0.6521,0.839,16.4185,1.7097,2.0792,0.0008761,3,4,76929,9371,149
-0.1462,-0.0078,-0.039,-0.0048,0.6033,0.8127,16.4185,1.7435,2.1031,0.0008761,4,4,76929,9371,167
-0.2008,-0.007,-0.1048,-0.0006,0.6694,0.8588,16.4185,1.6866,2.0916,0.0008761,3,4,76929,9371,156
-0.136,-0.0072,-0.1137,-0.0033,0.6159,0.8264,16.4185,1.7235,2.1046,0.0008761,4,4,76929,9371,161
-0.0572,-0.0021,0.0217,0.0009,0.6244,0.8603,16.4185,1.7052,2.1008,0.0008761,4,4,76929,9371,151
-0.0366,-0.0013,0.0722,0.0006,0.6012,0.8283,16.4185,1.7003,2.1042,0.0008761,4,4,76929,9371,143
-0.091,-0.0067,-0.0528,-0.0033,0.6362,0.8219,16.4185,1.7357,2.0894,0.0008761,4,4,76929,9371,163
-0.054,-0.0002,0.0402,-0.0013,0.6333,0.8555,16.4185,1.7198,2.0878,0.0008761,4,4,76929,9371,170
-0.1218,-0.0093,-0.198,-0.0112,0.6311,0.8487,16.4185,1.7047,2.1223,0.0008761,3,4,76929,9371,171
-0.164,-0.0074,-0.1056,-0.0029,0.632,0.8475,16.4185,1.7431,2.1014,0.0008761,4,4,76929,9371,181
-0.1854,-0.0064,-0.1062,-0.0092,0.6014,0.8369,16.4185,1.7437,2.087,0.0008761,4,4,76929,9371,174
-0.1783,-0.01,-0.0619,-0.0076,0.6257,0.85,16.4185,1.7472,2.0707,0.0008761,4,4,76929,9371,165
-0.1266,-0.0063,-0.1677,-0.0068,0.6474,0.8647,16.4185,1.6956,2.0906,0.0008761,4,4,76929,9371,225
-0.0621,-0.0025,-0.105,-0.0055,0.6183,0.8445,16.4185,1.7047,2.0947,0.0008761,4,4,76929,9371,147
-0.1851,-0.013,-0.0544,-0.0064,0.6597,0.8049,16.4185,1.7193,2.1196,0.0008761,4,4,76929,9371,164
-0.0968,-0.0014,-0.1258,-0.0064,0.6168,0.8602,16.4185,1.7464,2.0665,0.0008761,4,4,76929,9371,202
-0.1951,-0.0089,-0.0059,-0.0014,0.6829,0.8644,16.4185,1.6877,2.0778,0.0008761,4,4,76929,9371,157
-0.1423,-0.0076,-0.0521,-0.0023,0.6463,0.8586,16.4185,1.7168,2.0656,0.0008761,4,4,76929,9371,198
-0.0988,-0.0021,0.0178,0.0036,0.6822,0.8586,16.4185,1.7388,2.0859,0.0008761,4,4,76929,9371,195
-0.0487,-0.0048,0.1017,0.0035,0.6127,0.8222,16.4185,1.7292,2.1132,0.0008761,3,4,76929,9371,201
-0.1392,-0.0094,0.0023,0.003,0.6173,0.8449,16.4185,1.712,2.0761,0.0008761,3,4,76929,9371,152
-0.0667,-0.0064,-0.0341,0.0024,0.6146,0.809,16.4185,1.7134,2.0736,0.0008761,4,4,76929,9371,154
-0.0978,-0.0108,0.0521,0.0029,0.6158,0.8162,16.4185,1.7386,2.1193,0.0008761,4,4,76929,9371,196
-0.0693,-0.0025,-0.1347,-0.0047,0.6155,0.8392,16.4185,1.7311,2.0967,0.0008761,4,4,76929,9371,177
-0.0531,-0.0042,-0.1143,-0.0062,0.631,0.8487,16.4185,1.7227,2.0798,0.0008761,4,4,76929,9371,208
-0.0005,-0.0005,-0.0038,0.0014,0.6276,0.825,16.4185,1.7629,2.1019,0.0008761,4,4,76929,9371,236
-0.0524,-0.0005,-0.0706,-0.0037,0.5904,0.8288,16.4185,1.7457,2.0927,0.0008761,4,4,76929,9371,200
-0.1335,-0.0046,0.0016,0.0039,0.6607,0.8403,16.4185,1.737,2.0814,0.0008761,4,4,76929,9371,166
-0.1421,-0.0063,0.0009,-0.0021,0.6142,0.8187,16.4185,1.7191,2.0672,0.0008761,3,4,76929,9371,184
